	textid	condition	wordpos	model	token	word	tokenizer	punctuation	target	predicted	prob	text
29	4	short	0	distilbert-base-uncased	the	The	distilbert-base-uncased	False	O	I-location	0.109264463186264	The Golden State Warrirors: American professional basketball team based in San Francisco.
30	4	short	1	distilbert-base-uncased	golden	Golden	distilbert-base-uncased	False	B-location	I-creative-work	0.1119335442781448	The Golden State Warrirors: American professional basketball team based in San Francisco.
31	4	short	2	distilbert-base-uncased	state	State	distilbert-base-uncased	False	I-location	B-group	0.0965795144438743	The Golden State Warrirors: American professional basketball team based in San Francisco.
32	4	short	3	distilbert-base-uncased	war	Warrirors	distilbert-base-uncased	False	B-group	I-creative-work	0.1121731251478195	The Golden State Warrirors: American professional basketball team based in San Francisco.
33	4	short	4	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	B-creative-work	0.1103715524077415	The Golden State Warrirors: American professional basketball team based in San Francisco.
34	4	short	5	distilbert-base-uncased	american	American	distilbert-base-uncased	False	O	I-product	0.1011619493365287	The Golden State Warrirors: American professional basketball team based in San Francisco.
35	4	short	6	distilbert-base-uncased	professional	professional	distilbert-base-uncased	False	O	I-location	0.1122674420475959	The Golden State Warrirors: American professional basketball team based in San Francisco.
36	4	short	7	distilbert-base-uncased	basketball	basketball	distilbert-base-uncased	False	O	B-location	0.1235170662403106	The Golden State Warrirors: American professional basketball team based in San Francisco.
37	4	short	8	distilbert-base-uncased	team	team	distilbert-base-uncased	False	O	B-creative-work	0.1184863224625587	The Golden State Warrirors: American professional basketball team based in San Francisco.
38	4	short	9	distilbert-base-uncased	based	based	distilbert-base-uncased	False	O	I-product	0.1079513579607009	The Golden State Warrirors: American professional basketball team based in San Francisco.
39	4	short	10	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	B-person	0.0968515872955322	The Golden State Warrirors: American professional basketball team based in San Francisco.
40	4	short	11	distilbert-base-uncased	san	San	distilbert-base-uncased	False	O	I-creative-work	0.1173570454120636	The Golden State Warrirors: American professional basketball team based in San Francisco.
41	4	short	12	distilbert-base-uncased	francisco	Francisco	distilbert-base-uncased	False	O	B-location	0.1036385893821716	The Golden State Warrirors: American professional basketball team based in San Francisco.
42	4	short	13	distilbert-base-uncased	.	.	distilbert-base-uncased	True	B-location	I-location	0.123553030192852	The Golden State Warrirors: American professional basketball team based in San Francisco.
43	5	short	0	distilbert-base-uncased	klein	Kleinfeltersville	distilbert-base-uncased	False	B-location	B-location	0.0907811522483825	Kleinfeltersville: town in Pennsylvania.
44	5	short	1	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	B-location	0.094698242843151	Kleinfeltersville: town in Pennsylvania.
45	5	short	2	distilbert-base-uncased	town	town	distilbert-base-uncased	False	O	B-group	0.0989966392517089	Kleinfeltersville: town in Pennsylvania.
46	5	short	3	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	O	0.1041331067681312	Kleinfeltersville: town in Pennsylvania.
47	5	short	4	distilbert-base-uncased	pennsylvania	Pennsylvania	distilbert-base-uncased	False	B-location	O	0.0980234369635582	Kleinfeltersville: town in Pennsylvania.
48	5	short	5	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	I-location	0.1063490286469459	Kleinfeltersville: town in Pennsylvania.
49	6	short	0	distilbert-base-uncased	no	Noam	distilbert-base-uncased	False	B-person	B-group	0.1226266771554946	Noam Chomsky: soft revolution.
50	6	short	1	distilbert-base-uncased	cho	Chomsky	distilbert-base-uncased	False	I-person	I-product	0.1023481413722038	Noam Chomsky: soft revolution.
51	6	short	2	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	I-location	0.0963778793811798	Noam Chomsky: soft revolution.
52	6	short	3	distilbert-base-uncased	soft	soft	distilbert-base-uncased	False	O	I-location	0.1098996698856353	Noam Chomsky: soft revolution.
53	6	short	4	distilbert-base-uncased	revolution	revolution	distilbert-base-uncased	False	O	O	0.0964953899383544	Noam Chomsky: soft revolution.
54	6	short	5	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	I-location	0.1007300317287445	Noam Chomsky: soft revolution.
